fix,contains_bug,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
FALSE,TRUE,1,3,3,0.414579057,25,20,2939.666667,130,3.881423611,1136,47,1.157445095,47
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,2,4,6823,384,-1.1059375,1378,37,0.095789771,30
TRUE,TRUE,2,12,259,7.120164276,13140,13185,184.0733591,323,53.81735092,2857,556,1.126726836,2
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,3,3,56,239,-25.36606481,78,1512,0.960577251,53
FALSE,TRUE,1,5,6,2.043177119,72,3,733.8333333,279,16.74847608,168,103.5,1.042316782,86
FALSE,FALSE,1,1,1,0,0,7,63,371,72.95548611,3,13,1.013706988,13
TRUE,TRUE,1,5,5,1.517213805,51,78,3304.4,294,-35.61265972,2211,103,0.999161654,96
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,105,34,357,376,41.32604167,14,47,1.024197817,38
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,2,2,0.235193382,25,1,62.5,113,15.34137731,29,753.5,1.048887397,579
FALSE,TRUE,1,3,3,1.340412133,213,60,122.3333333,50,1.024710648,13,36,1.596374315,34
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,5,3,62,2.338645833,6,6,1.42759788,0
TRUE,FALSE,3,3,5,2.192005835,5,8,887,112,20.75232407,840,497,1.011977697,1
FALSE,FALSE,1,4,6,2.255241445,111,61,280.3333333,30,0.528894676,208,7.5,1.592620098,10
TRUE,FALSE,1,1,1,0,3,2,119,183,69.97646991,11,18,1.014290518,18
FALSE,TRUE,2,4,4,1.467979806,59,0,249.5,305,-62.06894965,36,478.5,0.992485145,416
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,3,0.986522283,67,6,339.3333333,174,1.151045525,52,12,1.18706584,13
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,2,5,23,4.451549607,51,51,46,277,28.114297,91,1335,0.87715354,829
TRUE,TRUE,1,2,2,0.773226674,57,53,1479.5,254,49.71993056,389,1563.5,1.015084494,1469
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,15,29,715,35,0.02,101,89,51,88
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,4,35,4.701111713,1637,1625,51.54285714,22,1.158709325,40,56,1.61450195,45
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,3,3,1.488644174,16,25,681.6666667,97,14.95979938,384,5,1.055153107,5
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,2,0.918295834,23,1,94,336,40.76371528,8,0.5,0.506132905,1
FALSE,FALSE,1,1,2,0.918295834,3,3,2.5,101,9.019328704,62,98.5,1.49801959,50
FALSE,TRUE,1,1,1,0,137,6,178,338,40.25516204,1,13,1.024841535,13
FALSE,TRUE,3,5,25,2.535141416,224,219,280.04,124,21.76756065,1380,409,1.006109144,13
FALSE,FALSE,1,1,1,0,203,0,0,1,0,0,97,0,15
FALSE,FALSE,1,1,1,0,3,1,2472,56,1.9234375,295,6,1.519902518,4
FALSE,FALSE,1,1,1,0,0,1,38,74,0.03349537,52,209,30.85487215,1
TRUE,TRUE,1,1,1,0,12,6,1272,144,0.261689815,75,0,0,0
FALSE,TRUE,1,3,3,1.288763818,210,0,189,370,18.68899691,30,3095,0.684502473,2980
FALSE,FALSE,1,2,2,0.99107606,7,11,825.5,53,0.087835648,312,379.5,9.739812794,350
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,8,22,4.249518655,47,65,573.1818182,277,5.847850379,1232,1584.5,1.007761331,1051
TRUE,TRUE,1,1,1,0,6,1,1621,76,0.069583333,412,335,15.37125749,293
FALSE,TRUE,2,2,4,0.126745429,2159,2,24.75,33,42.36627604,32,82.5,0.502975696,21
TRUE,FALSE,1,1,1,0,1,1,228,256,141.4008681,34,72,1.007072092,1
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,2,2,0.93526914,37,0,31,34,78.79545139,12,68.5,1.009518316,23
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,4,4,58,366,6.535902778,199,1746,1.153001052,159
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,3,5,5,1.51529509,17,14,167.8,214,-11.18695602,191,276,0.958411731,15
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,3,3,1.360388078,14,13,600.3333333,347,61.49337577,38,38,1.007565199,39
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,6,5,1241,31,0.021990741,96,22,46.47368421,16
FALSE,FALSE,1,1,1,0,1,1,977,5,0.514201389,24,13,2.94476332,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,2,5,10,1.648048887,136,51,147.4,132,117.2070544,175,146.5,57.47174592,15
FALSE,FALSE,1,1,1,0,2,0,390,62,0,67,84,0,82
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,0,3760,193,3.513356481,236,6,1.284628106,6
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,4,1.726755656,9,50,276.75,32,0.647485532,145,91.5,1.928082589,89
TRUE,TRUE,1,3,4,1.918036824,23,6,1339.5,263,47.92021412,1162,1.5,0.756325872,3
TRUE,TRUE,1,3,3,1.483659164,48,3,791,174,31.88361883,450,290,1.010427567,189
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,13,13,407,56,0.283009259,33,12,4.533453296,10
FALSE,FALSE,1,1,1,0,2,2,736,38,0.005393519,87,109,186.4077253,2
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,2,73,6.063094803,0,931,94.63013699,373,42.29673976,622,1879,1.001053327,1159
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,2,2,0.959055004,165,29,233.5,129,12.56351273,68,506.5,1.063522082,435
TRUE,FALSE,1,2,2,0.811278124,12,12,651,395,72.46367477,37,2.5,1.007152051,3
TRUE,TRUE,1,2,2,0.574635698,44,0,2433.5,297,76.53939815,139,91.5,1.009798875,90
FALSE,FALSE,1,2,2,0.578794625,29,0,75,58,6.300787037,31,309.5,1.119032749,222
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,2,2,0,0,0,2729,79,0.004178241,725,15.5,180.501385,15
TRUE,TRUE,1,2,2,0.558629373,27,19,1644.5,105,13.53936921,422,238.5,1.036833088,218
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,1,392,62,6.989363426,127,277,1.143074546,236
TRUE,TRUE,1,2,2,0.994030211,24,20,432.5,216,16.12127894,7,76.5,1.042384241,61
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,5,7,2.02803459,439,0,500,353,-3.171263228,775,572,0.84408069,535
TRUE,TRUE,1,1,1,0,13,9,229,118,14.22844907,2,54,1.070281729,53
TRUE,FALSE,1,3,3,1.530618995,11,3,2227.333333,285,2.729575617,1218,1744,1.256636177,1156
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,2,3,0.895687346,42,21,5600.333333,370,85.25316358,1520,1,0.669361563,2
FALSE,FALSE,1,1,1,0,0,1,6298,304,5.553483796,1181,27,1.18006715,26
FALSE,FALSE,1,41,41,5.350083851,903,3018,11912.02439,174,0.999814815,1850,1855,1.104969031,1847
TRUE,FALSE,1,2,2,0.899743759,12,7,744.5,369,177.7075,90,731.5,1.003567286,680
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,3,3,1.584946531,728,774,12648.66667,175,0.996747685,355,429,1.613105122,426
FALSE,FALSE,1,1,1,0,0,1,241,58,8.017141204,16,86,1.124732741,1
TRUE,FALSE,1,1,1,0,21,31,3715,378,54.00847222,47,3170,1.018515614,3052
FALSE,FALSE,1,4,8,2.473341545,33,46,1029,370,114.982322,1124,51.5,6.38367468,50
TRUE,TRUE,1,4,5,0.791490173,41,32,175.8,17,3.496946759,68,766,1.35669326,637
FALSE,TRUE,1,2,2,0.303374836,37,0,512.5,340,75.99727431,25,83.5,1.013936948,74
TRUE,TRUE,1,3,4,1.580567433,30,22,1280,133,6.63510706,88,716.5,1.057398468,665
FALSE,FALSE,1,1,1,0,4,4,149,41,0.013055556,13,261,77.59574468,21
FALSE,FALSE,2,2,7,2.378074467,33,27,84.85714286,22,23.05435681,87,119,1.012176974,45
FALSE,FALSE,1,1,1,0,9,7,1203,2,7.985613426,2,53,1.125225195,17
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,2,0.985228136,6,1,2820,256,37.64353009,1051,753.5,1.019923742,717
FALSE,TRUE,1,3,3,1.191707773,32,4,1372.333333,174,15.45315586,249,232,1.060712114,210
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,3,1,381,38,0.422199074,62,474,3.368550907,316
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,5,6,2.186625628,139,86,730.1666667,56,1.378061343,653,89.5,27.99127359,86
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,7,7,2.279146081,104,0,2186.428571,256,34.73844411,1078,165,1.020760066,163
FALSE,FALSE,1,3,3,1.573355385,12,87,564.3333333,68,0.005405093,160,667,114.0620985,468
FALSE,TRUE,1,2,3,1.123576426,92,5,0,1,0,0,1,0,2
FALSE,FALSE,1,1,1,0,6,0,0,1,0,0,467,0,19
FALSE,FALSE,1,2,2,0.881290899,30,0,756,56,6.818072917,216,11.5,1.697824277,10
FALSE,FALSE,1,1,1,0,1,5,1965,201,20.63373843,601,69,1.048464315,66
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,1,404,17,1.014467593,21,1017,1.985738734,868
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,1,1,233,312,15.01619213,12,160,1.066594779,160
FALSE,TRUE,1,2,4,1.138169995,36,53,956.75,258,17.47391782,503,1660.5,1.028682945,1564
TRUE,FALSE,2,2,2,0.970950594,2,3,3225,218,19.47215856,130,304.5,0.837601645,1
FALSE,FALSE,1,3,6,2.378783493,3,11,1117.333333,112,1.222939815,1158,463.5,1.372222713,439
TRUE,FALSE,1,1,1,0,3,3,1273,285,95.50372685,51,968,1.010470796,917
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,3,0,607,86,18.07027778,64,154,1.055339492,115
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,2,2,0.650022422,7,5,588,3,5.78704E-06,25,35.5,86401,32
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,1,12,83,137.9256944,2,80,1.007250281,65
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,3,5,5,1.492675396,18,15,184,214,0.031328704,218,302,15.02303385,19
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,4,4,1.470760674,0,33,3022.25,176,69.42083333,1325,953.5,1.008286487,761
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,2,2,240,356,110.7137384,7,726,1.009032303,579
TRUE,FALSE,1,1,1,0,0,2,233,50,4.09818287,8,65,1.244010585,61
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,2,0.950956048,21,6,924,66,0.601730324,609,297.5,2.030853123,277
FALSE,FALSE,1,1,1,0,52,0,36,21,4.152141204,1,49,1.240839594,14
FALSE,FALSE,1,1,1,0,1,1,59,391,9.572569444,236,1923,1.10446516,205
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,2,1,293,237,137.6767593,7,3,1.00726339,2
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,3,3,1.546179692,11,5,113.6666667,310,90.76135031,24,12,1.020252621,13
FALSE,TRUE,1,4,4,1.642371449,39,39,2000.5,237,15.54103009,1090,208.5,1.052878134,196
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,2,2,0.979868757,12,0,168,174,35.42898148,6,918.5,1.030198615,849
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,12,1,-15,1,76.50921296,2,314,1.013070321,224
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,2,2,2,0.980017746,136,135,621,346,1.780451389,253,558.5,1.421241492,519
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,1,1,1407,101,0.120960648,242,31,9.267151469,25
TRUE,TRUE,2,6,46,5.520289053,46,47,207.6521739,296,22.84922705,338,1882.5,1.05011242,78
FALSE,FALSE,2,2,4,1.425315436,15,22,99,87,13.5325897,37,89.5,0.116171999,1
FALSE,TRUE,1,8,9,2.633881129,399,2,486.3333333,327,22.193116,703,505,0.899866961,472
FALSE,FALSE,1,1,1,0,0,4,0,1,0,0,24,0,23
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,2,12,406,4,253.6428356,3,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,0,1,897,42,0.006840278,14,1828,147.1928934,1535
FALSE,FALSE,1,1,1,0,19,10,173,22,5.740046296,2,1477,1.174214623,1
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,2,0,35,183,24.60547454,57,2150,1.040641362,1890
TRUE,TRUE,1,9,14,2.700066946,368,181,1306.071429,88,5.956574901,2823,737.5,1.031875697,687
FALSE,TRUE,1,8,17,3.783867413,212,91,1586.588235,216,2.028524646,2810,1248,0.90883848,1188
TRUE,FALSE,1,1,1,0,1,1,1615,48,1.035034722,234,27,1.966151162,9
FALSE,TRUE,1,2,2,0.981940787,11,8,84,35,20.92533565,10,86.5,1.075671009,81
FALSE,FALSE,2,5,8,2.371146102,0,374,74.125,204,64.01518953,128,2193.5,1.003930247,13
FALSE,TRUE,1,5,5,1.910245394,34,21,942.2,368,64.96737037,364,23,1.006455765,22
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,1,1,0,143,0,0,1,0,0,87,0,65
TRUE,FALSE,1,2,6,2.328024331,28,28,205,224,109.4855247,111,87.5,1.002196808,5
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,14,14,-666,17,0.056469907,133,1043,18.70854683,891
TRUE,TRUE,1,1,2,0.337290067,15,17,1210,53,0.503784722,380,160.5,2.423361918,133
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,2,0.800084745,0,144,0,1,0,0,586.5,0,8
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,1,2,2,0.739741449,105,5,287.5,83,68.09993056,49,408.5,1.011013227,306
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,2,2,0.918295834,3,3,594.5,136,1.635266204,187,59.5,1.439069683,55
TRUE,TRUE,1,3,3,1.027058267,35,21,3562,248,-4.455787037,1672,1383,0.926985023,1308
TRUE,TRUE,1,2,2,0.791858353,9,12,7877,254,34.67578704,1881,59.5,1.021628925,58
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,1,1,0,1,2,2040,376,32.67170139,587,1301,1.030607528,1188
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,32,8,-3,87,7.123611111,1,94,1.140378241,69
FALSE,FALSE,1,3,4,1.620538846,31,6,1928.75,256,-5.685639468,961,53.5,0.969078848,53
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,62,109,181,61,57.77328704,39,22,1.017309038,21
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,2,2,2,0.684038436,10,1,75,371,6.600925926,193,14.5,0.537873475,0
FALSE,TRUE,1,2,4,1.599271252,52,43,2011.25,131,0.033402778,823,603.5,16.59251559,540
FALSE,FALSE,1,1,1,0,54,0,882,293,44.1009375,3,248,1.022675255,176
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,4,4,1.373720247,37,24,75,17,2.149707755,222,207.5,1.139341216,99
FALSE,FALSE,1,1,1,0,0,1,780,37,0.000520833,79,91,1921,80
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,1,624,74,1.022881944,5,75,1.977629926,39
TRUE,TRUE,3,10,26,3.328706045,460,0,202.9230769,175,17.63585737,306,53.5,1.004754751,55
TRUE,TRUE,2,4,10,2.441913263,65,1,149.3,226,4.188980324,45,630.5,-2.131443945,402
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,3,5,8,1.756736538,148,17,189,17,2.341202257,149,294.5,1.184185634,2
TRUE,TRUE,4,26,67,5.345794576,387,370,476.8507463,112,27.77968405,2376,90,0.994320651,2
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,0,3,95,17,0.00556713,11,7,180.6257796,7
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,2,4,427,90,24.47032407,100,41,1.040865826,27
FALSE,FALSE,1,6,7,1.628031142,30,364,1192.285714,192,17.12737765,2004,546,1.072297854,515
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,1,1,0,153,78,330,235,171.7548148,14,93,1.005822253,91
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,FALSE,1,3,5,1.57813375,81,8,2924,212,-0.0578125,1353,27,-0.109303657,29
FALSE,FALSE,1,1,1,0,3,0,36,114,11.17641204,29,55,1.089474153,6
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,TRUE,2,6,9,2.514769777,144,50,1027.444444,65,6.068311471,1430,2152,1.075520675,1785
FALSE,FALSE,2,3,10,1.212145913,0,719,835,235,39.64508333,209,1154.5,1.004002078,29
FALSE,FALSE,1,2,2,0.721928095,70,40,711,127,12.94355903,90,259.5,35.00829968,238
TRUE,FALSE,1,1,1,0,1,0,371,33,3.533888889,54,111,1.282974375,86
FALSE,TRUE,1,2,2,0.74441318,41,11,75.5,292,65.15724537,8,13.5,1.009567304,14
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,4,1.944004634,1913,0,0,1,0,0,15.5,0,14
